1							
斯大林	7-80600-850-0	编著刘乐华等	A74				
毛泽东传	978-7-5051-1753-2	蒋建农著	A75				
军事统帅毛泽东	978-7-221-07783-7	"中共中央文献研究室第一编研部,中国人民解"	A75				
总设计师邓小平	978-7-221-08399-9	中共中央文献研究室第三编研部编著	A76				
马克思主义基础理论若干重大问题研究	978-7-5058-8195-2	陈先达等著	A81				
《资本论》的经济伦理思想研究	978-7-81110-498-1	刘琳著	A81				
资本主义生产总过程的数学分析	978-7-5058-8131-0	沈民鸣著	A81				
马克思的意识形态批判与当代中国	978-7-5004-8419-6	侯惠勤著	A81				
马克思的理论教育思想研究	978-7-5004-8427-1	韩玲著	A81				
马克思主义理论研究	978-7-5004-8387-8	主编张祖英;中国社会科学院马克思主义研究	A81				
国史静思录	978-7-5004-8239-0	李捷著	A84				
独领风骚	978-7-5097-0993-1	"季世昌,徐四海编著"	A84				
邓小平执政党组织建设思想研究	978-7-5004-8425-7	王春玺著	A84				
没有标准答案的哲学问题	978-7-5011-9081-2	(美)菲尔·沃什博恩著;林克译	B30				
哲学通论	978-7-01-008620-0	孙正聿著	B08				
信仰与探索	978-7-81119-430-2	陈先达著	B00				
马克思的六个经典问题	978-7-5004-8256-7	张盾著	B00				
人本价值与公共秩序	978-7-5004-8503-2	刘进田著	B01				
比照与融通	978-7-216-06355-5	江畅主编	B01				
社会关系的逻辑	978-7-5004-8255-0	高云涌著	B02				
分辨的和辨证的马克思主义	978-7-229-02125-2	(澳)伊安·亨特著;徐长福[等]译	B02				
归因理论及其应用	978-7-5444-2853-8	刘永芳著	B02				
方法学	978-7-81052-232-8	韦诚著	B02				
生命教育公民读本	978-7-01-008869-3	"郑晓江,张名源主编"	B08				
走出死亡	978-7-300-11658-7	霍韬晦著	B08				
西方二元灵知论	978-7-208-08666-1	"(美)约安·P.库里亚诺著;张湛,王伟译"	B08				
宽容	978-7-5430-4213-1	(美)房龙著;姚伟编译	B15				
一次读完15位哲学大师经典讲义	978-7-5617-7346-8	黄明华编著	B15				
